,State,City,Population,Total,Murder andNonnegligentmanslaughter,Rape1,Robbery,Aggravatedassault,Total,Burglary,Larceny-theft,Motorvehicletheft,Arson2
0,Alabama,Mobile3,248431,740.25,20.13,58.16,177.11,485.85,5453.83,1216.84,3730.21,506.78,22.94
1,Alaska,Anchorage,296188,1203.29,9.12,132.01,262.67,799.49,5415.82,748.17,3619.66,1047.98,20.93
2,Arizona,Chandler,249355,259.47,2.01,52.13,56.95,148.38,2329.61,314.41,1866.01,149.18,
3,Arizona,Gilbert,242090,85.51,2.07,16.11,21.07,46.26,1385.85,192.49,1137.59,55.76,12.39
4,Arizona,Glendale,249273,488.22,4.81,38.91,192.96,251.53,4530.37,637.45,3426.36,466.56,19.26
5,Arizona,Mesa,492268,415.83,4.67,51.19,92.23,267.74,2171.99,381.5,1610.91,179.58,4.67
6,Arizona,Phoenix,1644177,760.93,9.55,69.46,200.28,481.64,3670.71,778.57,2426.69,465.46,11.56
7,Arizona,Scottsdale,251840,157.24,1.99,40.9,39.71,74.65,2172.01,348.63,1725.7,97.68,9.13
8,Arizona,Tucson,532323,801.77,8.64,93.55,268.82,430.75,5251.7,831.07,3968.46,452.17,29.31
9,California,Anaheim,353400,354.56,2.83,32.54,135.82,183.36,2630.45,382.29,1809.0,439.16,12.73
10,California,Bakersfield,381154,479.33,10.76,24.14,197.56,246.88,4068.43,962.08,2377.78,728.58,70.58
11,California,Chula Vista,271109,298.04,0.74,22.87,112.13,162.3,1432.27,236.07,915.5,280.7,8.48
12,California,Fremont,236368,182.34,0.85,28.77,79.11,73.61,2150.46,284.73,1499.78,365.95,11.0
13,California,Fresno,526371,565.0,10.64,33.06,182.0,339.3,3841.4,693.24,2618.31,529.85,41.23
14,California,Irvine,276115,61.21,0.72,16.66,19.92,23.9,1316.48,227.08,1019.14,70.26,3.62
15,California,Long Beach,471397,657.83,4.67,43.06,262.41,347.69,2672.48,586.55,1507.01,578.92,26.94
16,California,Los Angeles,4007147,761.31,7.01,61.27,269.87,423.17,2535.92,415.96,1640.99,478.97,35.29
17,California,Oakland,424915,1299.32,16.24,94.14,629.77,559.17,5982.84,617.06,4072.58,1293.2,46.13
18,California,Riverside,328023,508.81,3.66,50.61,165.84,288.7,3058.32,510.03,2020.89,527.4,22.25
19,California,Sacramento,499997,675.6,7.8,19.8,220.0,428.0,2936.62,577.6,1815.41,543.6,41.8
